verb,vns
abair,ràdh
abair,ràdha
agair,agairt
àitich,àiteach
amais,amas
amhairc,amharc
ath-giullaich,ath-giollachd
bagair,bagairt
beir,breith
bi,bith;bhith
blais,blasad
blais,blasadh
bleoghain,bleoghan
brìodail,brìodal
bris,bristeadh
bruich,bruich
bruidhinn,bruidhinn
brùth,bruthadh
buail,bualadh
buin,buntainn
cagair,cagar
cagair,cagarsaich
cagair,cagartaich
caidil,cadal
caill,call
càirich,càradh
cairt,cartadh
caisg,casgadh
caith,caitheamh
caomhain,caomhnadh
casgair,casgradh
ceangail,ceangal
ceannaich,ceannach
cluich,cluich;cluiche
cluinn,cluinnteil
cluinn,cluinntinn
coisich,coiseachd
coisinn,cosnadh
còmhradh,còmhradh
cuir,chur
cuir,cur
cùm,cumail
dìrich,dìreadh
dòirt,dòrtadh
dùin,dùnadh
dùisg,dùsgadh
èigh,èigheachd
èirich,èirigh
èist,èisteachd
èist,èisdeachd
èist,éisteachd
èist,éisteachd
fàg,fàgail
faigh,faighinn
faighnich,faighneachd
fairich,faireachdainn
fàisg,fàsgadh
faod,faotainn
feith,feitheamh
feuch,feuchainn
feum,feumachdainn
fògair,fògradh
freagair,freagradh
fuadaich,fuadach
fuiling,fulang
fuirich,fuireach
gabh,gabhail
gàir,gàireachdaich
gàir,gàireachdainn
gearain,gearan
gleadhar,gleadhraich
gluais,gluasad
gòraiceil,gòraiceil
guil,gul
iarr,iarraidh
iasgaich,iasgach
inns,innse
iomair,iomradh
iomair,iomramh
ionndrainn,ionndrainn
leighis,leigheas
loisg,losgadh
luaisg,luasgadh
mair,maireachdainn
naisg,nasgadh
obraich,obair
paisg,pasgadh
rach,dol
ruig,ruigheachd
ruig,ruighinn
ruig,ruigsinn
seas,seasamh
seinn,seinn
sguir,sgur
sìolaidh,sìoladh
siubhail,siubhal
smaoinich,smaointinn
sruigheil,sruighleadh
tachair,tachairt
tadhail,tadhal
tagair,tagradh
tataidh,tatadh
teagaisg,teagasg
thig,tighinn
tiodhlaic,tiodhlacadh
tionail,tional
tionndaidh,tionndadh
tog,togail
togair,togradh
toirmisg,toirmeasg
toir,toirt
tuit,tuiteam
